,URL
22,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-9
23,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-10
24,https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-11
25,https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-12
26,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-13
27,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-14
28,https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-15
29,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-16
31,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1697597641&sprefix=ba%2Caps%2C283&sr=8-1
32,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1697597641&sprefix=ba%2Caps%2C283&sr=8-2
33,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1697597641&sprefix=ba%2Caps%2C283&sr=8-3
35,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PKWBW/ref=sxin_15_trfobq2av2_0_B0821PKWBW?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PKWBW&pd_rd_r=e4f1c660-52cf-4f4b-a412-ef02d6e67f3d&pd_rd_w=vcZaW&pd_rd_wg=MaRRC&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DQSKK4GFSBFW0C4Q0B96&qid=1697597641&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a
